Num_Acc,id_vehicule,num_veh,place,catu,sexe,trajet,secu1,secu2,secu3,locp,actp,etatp,year_acc,victim_age,senc,catv,obs,obsm,choc,manv,motor,occutc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,adr,lat,long,hour,nb_victim,nb_vehicules
202100052920,107Â 127,B01,1,1,1,4,2,8,-1,-1, -1,-1,2021,24.0,1,1,0,2,1,9,1,,3,AV DE L'HIPPODROME,0,,1,2,0,1,0,0,1,, -1,2,0,1,50,30,1,5,94,94019,2,6,1,3,L'HIPPODROME (AV DE),48.79382,2.55876,19,2,2
202100017878,169Â 667,A01,10,3,2,1,0,-1,-1,2,3,1,2021,46.0,2,1,0,1,1,1,5,,4,BOULEVARD VINCENT AURIOL,0,,3,3,1,1,(1),(1),1,, -1,1,0,5,30,20,9,1,75,75113,2,3,0,6,BOULEVARD VINCENT AURIOL,48.8345736359,2.3673703775,13,2,1
202100053276,106Â 504,A01,10,3,2,5,0,-1,-1,2,3,1,2021,73.0,3,2,0,1,1,0,1,,4,,-1,,2,2,0,1,(1),(1),1,, -1,2,0,1,50,29,1,1,80,80016,2,1,1,6,Rue Gallieni,50.001098,2.649223,16,2,1
202100041964,126Â 609,A01,8,2,2,5,1,-1,-1,0,0,-1,2021,17.0,1,2,0,2,3,5,1,,4,145,-1,,2,2,0,1,(1),(1),3,, -1,1,0,3,-1,1,5,1,72,72231,2,1,0,3,Route de ChangÃ©,47.941019,0.360866,12,6,2
202100049042,114Â 092,A01,1,1,1,5,1,0,-1,-1, -1,-1,2021,53.0,2,2,0,2,4,2,1,,1,A4.W,0,,3,5,0,1,18,899,1,, -1,1,0,1,110,5,3,1,77,77258,1,1,0,6,A4.W,48.83039,2.63015,9,3,3
202100032452,143Â 772,B01,1,1,1,0,1,0,-1,-1, -1,-1,2021,73.0,1,2,0,2,4,2,1,,3,117,0,,1,1,0,1,0,0,1,, -1,1,0,1,50,24,6,1,91,91667,2,1,0,2,CORBEIL (ROUTE),48.65811,2.33939,16,2,2
202100042901,124Â 982,A01,1,1,1,5,2,6,-1,0,0,-1,2021,41.0,2,1,17,0,1,1,1,,3,NEFFES ( ROUTE DE ),0,,2,2,0,1,1,32,3,, -1,1,0,1,80,22,4,1,5,5061,1,1,0,7,NEFFES ( ROUTE DE ),44.52231,6.03713,17,1,1
202100016843,171Â 511,A01,10,3,2,5,0,-1,-1,3,3,1,2021,82.0,1,2,0,1,2,16,1,,4,RUE EMILE CLOUD,0,,2,2,0,1,1,0,1,, -1,1,0,1,30,25,9,1,77,77449,2,6,0,1,RUE EMILE CLOUD,48.843116,2.789044,17,2,1
202100013763,177Â 109,A01,1,1,1,4,1,-1,-1,0,0,-1,2021,40.0,2,4,3,0,0,1,1,,1,71,0,A,3,4,0,1,290,600,2,, -1,1,0,1,130,12,10,1,3,3305,1,1,0,6,A71 PK 290+600,46.411829,2.706366,16,1,1
202100010628,182Â 737,B01,2,2,2,0,1,-1,-1,0,0,-1,2021,22.0,1,2,0,2,1,1,1,,3,923,0,,2,3,0,1,31,500,2,, -1,1,0,1,90,28,10,1,28,28071,1,1,1,1,D923,48.407967,1.096659,12,4,2
202100041267,127Â 837,A01,1,1,2,1,8,-1,-1,0,0,-1,2021,21.0,3,1,0,2,1,9,5,,4,FERRE (PLACE),0,,-1,1,0,1,(1),(1),2,, -1,2,5,1,50,5,5,1,65,65440,2,6,1,3,FERRE (PLACE),43.2283801177,0.0758276618,8,2,2
202100017800,169Â 802,B01,1,1,1,3,1,0,-1,-1, -1,-1,2021,37.0,2,2,0,2,5,15,1,,4,AV PAUL VAILLANT COUTURIER,0,,2,2,0,1,0,100,1,, -1,1,0,1,50,20,9,1,91,91657,2,2,0,3,AV PAUL VAILLANT COUTURIER,48.69825,2.42541,16,2,2
202100006240,190Â 651,A01,10,3,1,5,0,-1,-1,3,3,1,2021,12.0,1,2,0,1,2,1,1,,3,CLEMENCEAU (RUE),0,,2,2,0,2,1,735,1,, -1,1,0,1,50,24,11,1,57,57012,2,1,1,6,CLEMENCEAU (RUE),49.35584,6.04581,14,2,1
